# 	Wavelength	 Divided_Spectra	 Divided_Error
1.060905086865501062e+03 9.293733226722220575e-01 8.522332968554027777e-02
1.061148962779696149e+03 9.095460252172223869e-01 7.985827130712175315e-02
1.061393654332399819e+03 1.203588484159639371e+00 1.201704799809653751e-01
1.061637802126097768e+03 8.704953824089058934e-01 7.120320930249275648e-02
1.061882765558304527e+03 8.259529337402170546e-01 6.906187306597705300e-02
1.062126913352002248e+03 8.990267798356811335e-01 8.070648546203265661e-02
1.062371876784209235e+03 8.818190931452684067e-01 7.676431913705707155e-02
1.062616296457410044e+03 9.104706728515509218e-01 8.091191795140853515e-02
1.062860716130610854e+03 9.751582406599497155e-01 8.991953111376088659e-02
1.063105951442320702e+03 9.250069298353186253e-01 8.165128545338325161e-02
1.063350371115521511e+03 9.077709106403913930e-01 7.830830545274285182e-02
1.063595606427231360e+03 9.349582369210239774e-01 8.603896399354224456e-02
1.063840297979935258e+03 9.217738663216801243e-01 8.482578736388668439e-02
1.064085533291645106e+03 8.242638038377775311e-01 7.209309928243184951e-02
1.064330496723851866e+03 9.394275584200564300e-01 9.023705025343158048e-02
1.064575188276555764e+03 8.752053696981594300e-01 7.550859825857746122e-02
1.064820695467768701e+03 9.581680089194430927e-01 8.290080829797245865e-02
1.065065658899975460e+03 1.018159949718658197e+00 8.692669867725184851e-02
1.065311437970691486e+03 9.510030837195319053e-01 7.731404329120179775e-02
1.065556401402898246e+03 1.005838389685235645e+00 8.184330318572262397e-02
1.065802180473614044e+03 9.691492125164519189e-01 7.608957142044396604e-02
1.066047415785323892e+03 1.063828580051412231e+00 8.716451142401419883e-02
1.066292651097033740e+03 1.107755936576269251e+00 9.267988110518127209e-02
1.066538430167749539e+03 1.031547921656513100e+00 8.254354296310557892e-02
1.066783665479459387e+03 9.452298255661483184e-01 7.277291215006884140e-02
1.067029716429678274e+03 9.464401848478152246e-01 7.369062683406576997e-02
1.067275223620891211e+03 9.623017656853065649e-01 7.840995949861455372e-02
1.067521274571110098e+03 1.066474088911168128e+00 9.467648245902623994e-02
1.067767053641825896e+03 1.118322169365633778e+00 1.008909395456618480e-01
1.068012560833038833e+03 1.080121206737084671e+00 9.644181437493325182e-02
1.068258883662760582e+03 1.172154986530297816e+00 1.071191291911248733e-01
1.068504662733476380e+03 1.273589466964799355e+00 1.233409357797352335e-01
1.068750985563198356e+03 9.029776839767357233e-01 6.829282645486367542e-02
1.068996764633914154e+03 1.038369290549875146e+00 8.477618776490424002e-02
1.069243359343139218e+03 1.008625432580813941e+00 7.909150590851768414e-02
1.069489410293357878e+03 9.700877995850401003e-01 7.406354700804104740e-02
1.069735461243576765e+03 1.073158746172798939e+00 9.191214697966475222e-02
1.069982055952801829e+03 9.950306795699546125e-01 8.210746129442897390e-02
1.070228106903020489e+03 9.610199425011196617e-01 7.872459157017501485e-02
1.070474973491748415e+03 1.029959892342288130e+00 9.226049051388558742e-02
1.070721296321470163e+03 8.869374993827363607e-01 7.298758587304771117e-02
1.070968162910198089e+03 9.276510679956384564e-01 7.809914620076155445e-02
1.071214485739920065e+03 1.125828425931011401e+00 1.054078925048678866e-01
1.071461080449144902e+03 1.039992738804477623e+00 8.803973143125067014e-02
1.071707947037872827e+03 1.049010645578262180e+00 8.654963285328598488e-02
1.071954541747097664e+03 1.014925719414081939e+00 8.297007796301908433e-02
1.072201680215328452e+03 8.935097413395493016e-01 6.841047165756398984e-02
1.072448546804056377e+03 9.475005094851021159e-01 7.347271805343257023e-02
1.072695685272287164e+03 1.095128180845898802e+00 9.219919054433407812e-02
1.072942551861015090e+03 1.031675386295173968e+00 8.075607697425928044e-02
1.073189418449743016e+03 1.154140064132194166e+00 9.483074699503904470e-02
1.073436828797476892e+03 1.039622580508830607e+00 7.951739184881721767e-02
1.073683695386204818e+03 1.036082266429476428e+00 7.920054063589726523e-02
1.073931377613441782e+03 1.051199173719036484e+00 8.159666550727008583e-02
1.074178516081672569e+03 9.993365409057282100e-01 7.643115490925904421e-02
1.074426198308909534e+03 1.026698584886492904e+00 8.319262859104871455e-02
1.074673336777140321e+03 8.889226572598898368e-01 6.597484301799109996e-02
1.074920475245371108e+03 8.821083497471036150e-01 6.530484832860218580e-02
1.075168429352111161e+03 8.889348319233704165e-01 6.605068526897141246e-02
1.075415839699845037e+03 1.011993334099653419e+00 8.025113439315681441e-02
1.075663793806584863e+03 1.183567580355830762e+00 1.070333601776731897e-01
1.075911204154318739e+03 1.121473699961553772e+00 9.751086336803384269e-02
1.076159158261058565e+03 1.204174048936621944e+00 1.090951885485927225e-01
1.076406840488295529e+03 9.784498510971733065e-01 7.472806095239177548e-02
1.076655066474538444e+03 8.603928181606128600e-01 5.841040948875374228e-02
1.076902748701775408e+03 9.674026253152351318e-01 6.724587527052813818e-02
1.077150430929012373e+03 1.098524069923611846e+00 8.027744651029242173e-02
1.077398928794758149e+03 1.019380686676719217e+00 6.975817414237749092e-02
1.077646611021995113e+03 1.192540920617206845e+00 8.894514491723211347e-02
1.077895108887740889e+03 1.068896345458465236e+00 7.730901349774313425e-02
1.078143334873983804e+03 1.008367088323125493e+00 7.105385423541164813e-02
1.078391832739729807e+03 9.736530756684297350e-01 6.703935506349455176e-02
1.078639786846469633e+03 8.873122020485368910e-01 6.022622395810234980e-02
1.078888012832712548e+03 9.934995985022687659e-01 7.355004373146392660e-02
1.079136782577961412e+03 1.018365582179582507e+00 7.509504445000417250e-02
1.079385008564204327e+03 1.073310047188630323e+00 8.538585190790248802e-02
1.079634050188956280e+03 9.525040503836981198e-01 7.104490583444761365e-02
1.079882276175199195e+03 8.826999682031273498e-01 6.487596193449875204e-02
1.080131317799951148e+03 8.828424697795369536e-01 6.398204630078939414e-02
1.080379815665696924e+03 8.672604010355647874e-01 6.443624838697983859e-02
1.080628313531442927e+03 8.455333759217391609e-01 5.980961626444068757e-02
1.080877627035697742e+03 1.079984266053461095e+00 8.449908284797862101e-02
1.081126124901443518e+03 1.151980262505504671e+00 8.905734491669305142e-02
1.081375438405698560e+03 1.106709267658748885e+00 8.184406399842611424e-02
1.081624480030450513e+03 1.107248809226328401e+00 8.132474095081787535e-02
1.081873793534705328e+03 1.055158064877460777e+00 7.426825398687722513e-02
1.082122563279954420e+03 1.000404796821495745e+00 7.003614142478585547e-02
1.082371604904706146e+03 9.167432709682044045e-01 6.427556195829994823e-02
1.082621190288464049e+03 9.247062290452872091e-01 6.851384427068965555e-02
