SDSS_Names_14,Plate_14,Mjd_14,Fiber_14,Mbh_14,Mbh_err_14,Lbol_14,Quality_Lbol_14,Redd_14,Quality_Redd_14
103125.87+440450.9,6627,56369,996,8.431868207418898,0.05408650330900153,46.92281173463707,0,0.35106444081693583,0
101442.26+393145.3,7382,56991,118,8.760062246865015,0.026893521607190836,46.60034775055286,0,-0.2995935827133974,0
081517.67+254203.9,8862,57461,960,8.408225267998219,0.17420017970036367,46.965592185118204,0,0.41748783071874657,-999
012153.07+300400.5,7619,56900,602,9.207130382469916,0.15003021068738964,46.790682829530596,0,-0.5563266393405596,0
101003.02+094212.1,5352,56269,584,9.461715852741694,0.02608470554222097,46.991325789907386,0,-0.6102691492355474,0
091637.52+150250.5,7109,56658,710,9.221776821201638,0.11661501163710511,46.587607858240204,0,-0.7740480493626727,0
012043.37+283350.2,7630,57006,180,9.381067595172901,0.015809063203489647,46.88904845564828,0,-0.6318982259258609,0
001043.91+334230.8,7821,57279,79,9.195285086401132,0.10966501736880485,46.71675561989396,0,-0.6184085529084112,-999
110832.00+373943.3,5403,55979,500,9.780899787045653,0.05365761289810255,47.086498465463656,0,-0.8342804079832363,10
083240.37+131516.7,5779,56338,292,8.522881396826204,0.5504294239803401,46.901269752782255,0,0.23850926955481275,-999
104159.92+355707.4,5867,56034,637,9.078993422731278,0.03060764668370634,47.131682272932125,0,-0.08719023620039236,0
085927.03+400003.4,5880,56042,522,9.170030777336574,0.027831024125929197,46.74006529856694,0,-0.5698445651708737,0
091243.68+022714.8,6660,56370,736,8.379297436007114,0.21799801000889346,46.88146674443115,0,0.3622902220227981,0
014627.93+061800.5,8729,57399,420,9.393772611912059,0.021614802830994668,46.669797137286864,0,-0.8638545610264342,0
120155.36+361521.6,5396,55947,930,9.123925998089202,0.019702130593845037,46.928883567550955,0,-0.3349215169394865,0
135437.92+561210.6,6034,56103,712,9.323333248340887,0.03895478470482652,46.924690721777594,0,-0.5385216129645319,0
134050.72+301611.2,7580,56955,827,9.248612505542017,0.022052472831335226,46.878380522349765,0,-0.5101110695934904,0
135158.93+392052.4,7655,57336,358,8.989622940226104,0.05527621647081692,46.870447468436986,0,-0.25905455819035694,0
003712.98+064908.2,7892,57333,24,9.034364479538628,0.02312677955878887,46.95900674927263,0,-0.2152368166672345,0
130433.00+310904.7,5164,56067,928,9.252283847431748,0.022661515565371472,47.048907890882866,0,-0.3432550429501209,0
104521.44+045415.3,6486,56328,254,9.431596370216209,0.15100641996392977,46.83377215222054,0,-0.7377033043969076,-999
085459.43+180422.3,6690,56416,370,9.171495473844178,0.0271765548052442,47.03664293862583,0,-0.2747316216195853,0
011611.49+210251.1,7664,57367,194,8.569767476229888,0.01587971522403834,46.63431239781322,0,-0.07533416481790861,0
002135.79+133222.9,4373,55811,56,10.382735931751034,0.059547809346774956,46.75052660722044,0,-1.7720884109318291,-999
075508.19+534213.3,5808,56325,532,9.233773954256767,0.02195164455379355,46.79293584159538,0,-0.580717199062626,0
094438.98+225210.3,5973,56067,372,9.070242201810311,0.028599139878539157,46.75773347900072,0,-0.4523878092108299,0
015851.16-003411.1,5790,56271,71,9.391184124944601,0.0921170981404745,46.833346171108175,0,-0.6977170402376649,0
