# 	Wavelength	 Divided_Spectra	 Divided_Error
1.024887849705010694e+03 1.214112514611940918e+00 2.113657962158594916e-01
1.025124384872624432e+03 9.389938202770752307e-01 1.677174069721856231e-01
1.025360104401729131e+03 8.621190345822111745e-01 1.600457127157492165e-01
1.025596639569342869e+03 9.284171976370491075e-01 1.682718905481277449e-01
1.025832630977950430e+03 1.088090804894048302e+00 2.026779595003977696e-01
1.026068894266061307e+03 1.558665367448478944e+00 3.590502864530663585e-01
1.026305157554171956e+03 1.685013269609113129e+00 4.349571934122316574e-01
1.026541148962779744e+03 1.564711071504317319e+00 4.124951791395310985e-01
1.026777956009896343e+03 1.869680911676128154e+00 5.704904680508985360e-01
1.027013947418504131e+03 1.993322019134840417e+00 5.249827730212729415e-01
1.027251026345123819e+03 1.760963346825145770e+00 3.787450639647921835e-01
1.027487289633234468e+03 1.643594885689741547e+00 3.967507989785555300e-01
1.027724096680351295e+03 1.172935052086077734e+00 3.099603652954141531e-01
1.027960631847965033e+03 1.424320953058689332e+00 3.469748742855273682e-01
1.028197167015578543e+03 2.635998983416205199e+00 7.770914328675424532e-01
1.028434245942198459e+03 2.595495791868730695e+00 8.065979019451516852e-01
1.028670781109812197e+03 2.033212869923289645e+00 4.271970284226697112e-01
1.028908131915934746e+03 1.842965001999392172e+00 3.553854604918612048e-01
1.029144667083548484e+03 1.714540189028203487e+00 3.823563851971038541e-01
1.029382017889671260e+03 1.295741285690210853e+00 2.168874623252212974e-01
1.029618824936788087e+03 1.145649276752418677e+00 1.813592459262273193e-01
1.029855631983904686e+03 1.354042942793012516e+00 2.224302120660621440e-01
1.030093254669530552e+03 1.249784968449851430e+00 2.177891611701803787e-01
1.030330061716647151e+03 1.084453723577637474e+00 1.729440396163340887e-01
1.030567684402272789e+03 1.647487781987899913e+00 2.987497383013647534e-01
1.030804763328892477e+03 1.489421008092862264e+00 2.834630107637460816e-01
1.031042386014518343e+03 1.645631816696250693e+00 3.251547889452549023e-01
1.031279736820641119e+03 1.209225864126238559e+00 2.831799461258222017e-01
1.031516815747260807e+03 4.684224557389801702e-01 1.965024373376490774e-01
1.031754710312389534e+03 1.721462145647759956e-01 1.906851881020593942e-01
1.031992061118512311e+03 3.496775713965644683e-01 2.147828905640009889e-01
1.032230227563144126e+03 2.977052365041264470e-01 1.964192000980490016e-01
1.032467578369266676e+03 1.036964088175563958e+00 3.209336038719995399e-01
1.032705744813898491e+03 1.591359987667138709e+00 3.946423896566668699e-01
1.032943367499524129e+03 1.691997356158366550e+00 3.404474186673077662e-01
1.033180990185149994e+03 2.024558901622996565e+00 3.815369650284348713e-01
1.033419156629781583e+03 1.972494528697686267e+00 3.606287663252770725e-01
1.033656779315407448e+03 1.361991488948767870e+00 2.821340722591770267e-01
1.033895217639542125e+03 1.430336751731244860e+00 2.868982134427870978e-01
1.034133112204670851e+03 1.209833728989817114e+00 2.573378935150756885e-01
1.034371550528805528e+03 1.362307397500632788e+00 2.906446238594240783e-01
1.034609445093934255e+03 1.391522791177083995e+00 2.993168941095155633e-01
1.034847611538566071e+03 9.479639309643657086e-01 2.005449041798250953e-01
1.035086049862700747e+03 1.160783946523400223e+00 2.412840637204021477e-01
1.035324216307332563e+03 1.930546524662151375e+00 3.668754224855949597e-01
1.035562926510970328e+03 1.708014070980381049e+00 2.968581192981201156e-01
1.035801364835105005e+03 1.544232694846963572e+00 2.458222707988012012e-01
1.036040075038742771e+03 1.689111428532662273e+00 2.605356534529029711e-01
1.036278513362877447e+03 1.502260923295310802e+00 2.214257600510897983e-01
1.036516951687012352e+03 1.026882754072683923e+00 1.532197155280926038e-01
1.036755933770152978e+03 1.227376228227481603e+00 2.101306026019258977e-01
1.036994372094287655e+03 1.526588673176645150e+00 2.746210254774602566e-01
1.037233354177428510e+03 1.597518859442431438e+00 2.957198925541581480e-01
1.037472064381066275e+03 1.585019770753332224e+00 2.898235611946705093e-01
1.037711318343709991e+03 1.400309463430363888e+00 2.354191416002673065e-01
1.037950028547347756e+03 1.162281123263404270e+00 1.914619221618826250e-01
1.038188738750985522e+03 1.171371634770034920e+00 1.816833834717296869e-01
1.038428264593132326e+03 1.271226240883494008e+00 1.947405473380004748e-01
1.038667246676272953e+03 1.346475759442093301e+00 2.040154098377101877e-01
1.038906500638916896e+03 1.505672523158126941e+00 2.515447659122930779e-01
1.039145754601560611e+03 1.423114983900257924e+00 2.417246682190198614e-01
1.039385280443707416e+03 1.393290400460590162e+00 2.412561835072818683e-01
1.039624262526848042e+03 1.716219632511029491e+00 3.274281558424000926e-01
1.039864060248497935e+03 1.820278426501792390e+00 3.549791680011860628e-01
1.040103314211141424e+03 1.827356734511032865e+00 3.323883023092331079e-01
1.040342568173785367e+03 1.365219278856211638e+00 2.241669536063992940e-01
1.040582365895435032e+03 1.234105970444951961e+00 2.172945807144333052e-01
1.040821891737581836e+03 1.335576424268612117e+00 2.141188695756565674e-01
1.041061961338734591e+03 8.392771343088172298e-01 1.507999474802996787e-01
1.041301215301378534e+03 1.343379204804823868e+00 2.204761850988281868e-01
1.041541556782034149e+03 1.146738087285123386e+00 2.158864575269736630e-01
1.041781082624180954e+03 1.160011572982994510e+00 2.217232092316728520e-01
1.042020608466327758e+03 1.593163611722899775e+00 2.707129841942931825e-01
1.042260949946983374e+03 1.295385245597767021e+00 2.517311256565687438e-01
1.042500747668633267e+03 1.749440354686631283e+00 3.051474851552000711e-01
1.042741089149289110e+03 1.117004408662849224e+00 2.411061318239305362e-01
1.042981158750441637e+03 1.509513202201495208e+00 3.168221181964927524e-01
1.043221500231097480e+03 1.425090704263856090e+00 2.685602847459245268e-01
1.043461569832250234e+03 7.680097826230782854e-01 1.833687408123646501e-01
1.043701639433402988e+03 1.213484327445216282e+00 3.130910152666485646e-01
1.043942252793561920e+03 1.493869913157661822e+00 3.161667195603921621e-01
1.044182594274217763e+03 1.448820938591027341e+00 2.946117111414347511e-01
1.044423207634376467e+03 1.531924559445399403e+00 3.259133225381876109e-01
1.044663549115032083e+03 1.340795327759021438e+00 2.556509634615540261e-01
1.044904434354693876e+03 1.094940129079404967e+00 1.720574890988215977e-01
1.045144775835349719e+03 1.211876112634174163e+00 1.840012746929501342e-01
1.045385117316005562e+03 1.392322071490880608e+00 2.329958239331709480e-01
1.045626274435170217e+03 1.322074207591749095e+00 2.607001534239803409e-01
1.045866887795329149e+03 1.229606821961036545e+00 2.608514532826714527e-01
1.046108044914493803e+03 1.330040920392923764e+00 2.904296317843556574e-01
1.046348658274652507e+03 2.058651095153122057e+00 5.643820004916153543e-01
1.046590087273320478e+03 1.907911602114151117e+00 4.362506432298885461e-01
1.046830700633479182e+03 1.794512095753411085e+00 3.885566810360087664e-01
1.047071585873140975e+03 1.816282565506017965e+00 4.263999004253219982e-01
1.047313014871808718e+03 1.911048177333133369e+00 4.718112513849461731e-01
1.047553900111470512e+03 1.632157197342603006e+00 3.527571071852201867e-01
1.047795600989641343e+03 1.651128947040985118e+00 3.682050410060049295e-01
1.048036486229303136e+03 1.585121267210848117e+00 3.329784051090452501e-01
1.048278187107473968e+03 1.919002062360373628e+00 3.772824647457838632e-01
1.048519344226638850e+03 1.926393890334052283e+00 3.529589434305370199e-01
1.048760501345803505e+03 1.814513312945106760e+00 3.111102961504889075e-01
1.049002474103477198e+03 1.938544800398207313e+00 3.269321110942173259e-01
1.049243631222642080e+03 1.774341180643491667e+00 2.785957190080947110e-01
1.049485875859818861e+03 1.287028102579059752e+00 2.045206964664379179e-01
1.049727032978983743e+03 1.356366834991190373e+00 2.167299276208765058e-01
1.049969277616160525e+03 1.280174803996398936e+00 2.049844465015790707e-01
1.050210706614828268e+03 1.293418368357047044e+00 1.949672406622521836e-01
1.050452407492999100e+03 1.358327792201454276e+00 2.023145542583505985e-01
1.050694652130175882e+03 1.342939260605298779e+00 2.073903333509750369e-01
1.050936353008346714e+03 1.438540577328314640e+00 2.324931666893128301e-01
1.051178597645523496e+03 1.483513738891632183e+00 2.826898708049909725e-01
1.051420570403197189e+03 1.710863405399853931e+00 3.064246242649020235e-01
1.051662815040374198e+03 1.920207454937543634e+00 3.385089617167427178e-01
1.051904787798047892e+03 2.220764593316066460e+00 4.290283863261866726e-01
1.052146760555721585e+03 1.694473819694778172e+00 2.845766036331648929e-01
1.052389548951904544e+03 1.448399027239173797e+00 2.870226261235865328e-01
1.052631521709578237e+03 1.119005348820738543e+00 2.456784508558502722e-01
1.052874310105761197e+03 7.835217052569292129e-01 2.288089166289037912e-01
1.053116554742937751e+03 8.605251267568122531e-01 2.283691016203510671e-01
1.053359343139120710e+03 1.553343210265701435e+00 3.505558838488979090e-01
1.053601587776297492e+03 1.603826468685434659e+00 2.737762983404740669e-01
1.053844104292977363e+03 1.802390190493252886e+00 3.020207818279949108e-01
1.054087164568663184e+03 1.640683424735532414e+00 2.301688110382489882e-01
1.054329681085342827e+03 1.528331489962888368e+00 2.149930379792689139e-01
1.054572741361028875e+03 1.800617641857398032e+00 2.817530306537230911e-01
1.054815257877708518e+03 1.766695993475160265e+00 2.603036352718967050e-01
1.055058590032897428e+03 1.694921169769925351e+00 2.526042600435749463e-01
1.055301378429080160e+03 1.698433877288595850e+00 2.723826483200285642e-01
1.055543894945760030e+03 1.965188994357560226e+00 2.876539737046935330e-01
1.055787498980451801e+03 1.742777454546704297e+00 2.533624400844486368e-01
1.056030287376634533e+03 1.464911062498512662e+00 2.355524728859476058e-01
1.056273891411326531e+03 1.462154481627755853e+00 2.281889515030476323e-01
1.056516951687012352e+03 1.663475290498043657e+00 2.405310079638584841e-01
1.056760555721704122e+03 1.445364168327182286e+00 2.008635718480152599e-01
1.057003615997389943e+03 1.438407682590304049e+00 1.949206829735160851e-01
1.057246676273075764e+03 1.394679499261791467e+00 1.895730415010838665e-01
1.057490552187270623e+03 1.587795782472174677e+00 2.259643321841643959e-01
