NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,REDSHIFT
spec-9609-58136-0331norm.dr16,341.51,[341.51],[-38385.01427],[-42924.71372],[504.94],[0.35],2.495
spec-1521-52945-0532norm.dr16,4535.95,"[3792.82, 743.13]",[-29961.89382 -54306.94165],[-45987.40244 -60027.4512 ],"[4492.08, 975.77]","[0.62, 0.41]",2.548
spec-5143-55828-0900norm.dr16,2600.12,"[2377.85, 222.27]",[-29961.83413 -54907.63109],[-44908.33809 -59364.54174],"[2804.19, 348.97]","[0.48, 0.23]",2.548
spec-5144-55829-0475norm.dr16,1896.5,"[1870.01, 26.49]",[-29961.89382 -55907.80092],[-43625.39701 -58833.69925],"[2275.14, 125.05]","[0.43, 0.22]",2.548
spec-9162-58040-0112norm.dr16,2175.7,"[2164.01, 11.69]",[-29961.89382 -55907.80092],[-43355.02507 -58103.38631],"[2611.68, 66.78]","[0.46, 0.18]",2.548
spec-9227-57932-0572norm.dr16,2437.01,"[2375.51, 61.5]",[-29961.89382 -55707.74535],[-43828.02909 -58634.56232],"[2886.54, 161.86]","[0.46, 0.22]",2.548
spec-4354-55810-0356norm.dr16,0,[],[],[],[],[],2.61
spec-9345-57713-0464norm.dr16,65.62,"[59.13, 6.49]",[-41747.61577 -52183.44712],[-44721.72271 -54189.16625],"[209.54, 96.69]","[0.25, 0.38]",2.61
spec-2884-54526-0579norm.dr16,0,[],[],[],[],[],2.615
spec-6313-56460-0295norm.dr16,35.08,[35.08],[-46745.26592],[-49233.92631],[179.87],[0.26],2.615
spec-2945-54505-0067norm.dr16,0,[],[],[],[],[],2.635
spec-5494-55857-0549norm.dr16,39.68,[39.68],[-37404.92935],[-40187.82348],[203.24],[0.26],2.635
spec-6587-56537-0015norm.dr16,4252.77,[4252.77],[-31003.36306],[-49368.10217],[4496.56],[0.74],2.6636
spec-7701-57356-0794norm.dr16,3635.69,[3635.69],[-32027.28916],[-50240.59287],[3783.66],[0.78],2.6636
spec-0948-52428-0370norm.dr16,83.61,[83.61],[-39734.89123],[-42038.13374],[221.76],[0.44],2.702
spec-7089-56661-0060norm.dr16,924.42,[924.42],[-34296.77175],[-43931.17663],[1148.07],[0.48],2.702
spec-6199-56220-0264norm.dr16,2207.49,[2207.49],[-31693.4921],[-42905.6779],[2408.15],[0.44],2.762
spec-7618-56898-0268norm.dr16,1413.17,"[1169.65, 243.52]",[-33807.81533 -45606.61853],[-42837.93713 -49509.56396],"[1493.37, 314.88]","[0.38, 0.9]",2.762
spec-1455-53089-0381norm.dr16,3.88,[3.88],[-30867.57694],[-33119.57013],[209.57],[0.37],2.846
spec-6670-56389-0168norm.dr16,218.7,[218.7],[-30867.57694],[-34618.91843],[598.21],[0.4],2.846
spec-6280-56570-0623norm.dr16,87.35,[87.35],[-33990.76638],[-37257.44046],[213.73],[0.28],2.86
spec-7694-57359-0006norm.dr16,125.05,[125.05],[-33922.71962],[-37325.34785],[264.83],[0.33],2.86
spec-1582-52939-0558norm.dr16,496.11,[496.11],[-54451.29976],[-58047.55415],[928.17],[1.49],2.861
spec-4485-55836-0092norm.dr16,658.75,[658.75],[-30041.34],[-36313.96954],[982.59],[0.78],2.861
spec-2785-54537-0175norm.dr16,679.24,[679.24],[-35479.1943],[-44631.02839],[817.97],[0.43],2.892
spec-5896-56047-0658norm.dr16,1303.59,[1303.59],[-33503.91814],[-43888.19979],[1497.62],[0.39],2.892
spec-4341-55538-0324norm.dr16,792.06,"[553.42, 238.64]",[-32748.27764 -53826.85893],[-43409.99255 -58821.33412],"[776.25, 323.17]","[0.41, 0.3]",2.978
spec-9312-57784-0360norm.dr16,2294.81,"[1618.28, 676.53]",[-29948.98694 -54361.22219],[-40906.35536 -59219.35944],"[2033.69, 944.67]","[0.51, 0.45]",2.978
spec-1709-53533-0576norm.dr16,2548.03,"[2460.23, 87.79]",[-32012.05656 -45247.03687],[-43423.98468 -48748.31635],"[2924.31, 275.01]","[0.68, 0.33]",3.003
spec-5465-55988-0798norm.dr16,2160.64,"[2145.16, 15.48]",[-31602.50585 -54975.68178],[-42409.65116 -57373.3975 ],"[2440.57, 145.36]","[0.64, 0.28]",3.003
spec-2582-54139-0485norm.dr16,292.11,[292.11],[-43442.32859],[-48363.15782],[538.51],[0.33],3.031
spec-5320-55999-0336norm.dr16,23.74,[23.74],[-45872.34712],[-48363.15782],[127.05],[0.22],3.031
spec-9587-57784-0340norm.dr16,0,[],[],[],[],[],3.031
spec-1618-53116-0538norm.dr16,0,[],[],[],[],[],3.07
spec-5374-55947-0608norm.dr16,228.13,[228.13],[-32222.74415],[-38145.32759],[358.53],[0.5],3.07
spec-2511-53882-0552norm.dr16,575.74,[575.74],[-32690.02802],[-40780.7092],[710.53],[0.31],3.083
spec-6422-56328-0988norm.dr16,1219.18,"[1146.72, 72.46]",[-29959.04622 -55171.57151],[-40983.90523 -58366.20417],"[1349.49, 109.87]","[0.45, 0.32]",3.083
spec-2225-53729-0182norm.dr16,0,[],[],[],[],[],3.128
spec-6402-56334-0966norm.dr16,419.06,[419.06],[-43865.8906],[-50731.31614],[527.44],[0.44],3.128
spec-1713-53827-0211norm.dr16,396.35,"[387.62, 8.73]",[-33514.84386 -38820.58927],[-38549.15413 -41058.10341],"[573.93, 184.43]","[0.47, 0.39]",3.159
spec-5476-55986-0599norm.dr16,789.95,[789.95],[-33855.64745],[-41938.35759],[970.12],[0.37],3.159
spec-6456-56339-0894norm.dr16,352.12,[352.12],[-38847.46229],[-46017.57987],[478.38],[0.32],3.194
spec-10464-58155-0575norm.dr16,465.58,[465.58],[-38508.08691],[-46960.70375],[502.73],[0.28],3.194
spec-2430-53815-0471norm.dr16,48.33,[48.33],[-37512.5418],[-39956.0373],[306.2],[0.47],3.204
spec-5288-55865-0958norm.dr16,145.25,[145.25],[-36900.82525],[-39956.0373],[286.85],[0.34],3.204
spec-5290-55862-0164norm.dr16,105.96,[105.96],[-36968.71247],[-40227.27252],[282.27],[0.34],3.204
spec-1372-53062-0154norm.dr16,991.52,"[137.88, 853.64]",[-38535.16867 -45302.85728],[-42127.5502  -53361.65785],"[490.82, 954.6]","[0.48, 0.88]",3.3
spec-6636-56367-0036norm.dr16,718.98,"[450.46, 268.51]",[-35408.11923 -42127.49938],[-41653.74959 -48400.66974],"[655.43, 621.41]","[0.47, 0.91]",3.3
spec-8374-57783-0919norm.dr16,281.92,"[215.47, 66.45]",[-34931.53804 -42398.22067],[-38942.5305  -45842.43511],"[457.82, 418.64]","[0.4, 0.9]",3.3
spec-5444-56038-0942norm.dr16,42.22,[42.22],[-45694.12485],[-48723.51454],[186.77],[0.35],3.403
spec-5868-56045-0372norm.dr16,113.73,[113.73],[-45289.56442],[-48790.62756],[323.4],[0.42],3.403
spec-5133-55860-0412norm.dr16,50.81,[50.81],[-40564.33995],[-43406.68167],[157.29],[0.31],3.45
spec-7622-56987-0113norm.dr16,165.98,[165.98],[-41918.87857],[-46914.66435],[202.36],[0.51],3.45
spec-5174-56047-0344norm.dr16,1304.93,[1304.93],[-34305.92351],[-41844.23204],[1505.88],[0.72],3.583
spec-10748-58224-0461norm.dr16,3018.06,[3018.06],[-32533.48354],[-43940.28716],[3189.78],[0.9],3.583
spec-6122-56246-0696norm.dr16,216.99,[216.99],[-46216.79234],[-50117.1391],[473.2],[0.32],3.623
spec-7610-56980-0454norm.dr16,47.86,[47.86],[-47159.7806],[-49647.31173],[284.32],[0.35],3.623
spec-6720-56390-0552norm.dr16,326.05,"[162.81, 163.24]",[-36675.45197 -47366.63493],[-40002.56256 -50792.78523],"[420.58, 339.66]","[0.41, 0.51]",3.851
spec-8396-57837-0736norm.dr16,560.17,"[65.5, 494.68]",[-36879.39481 -47231.99015],[-39799.20107 -52868.68412],"[335.33, 743.03]","[0.33, 0.44]",3.851
spec-1982-53436-0626norm.dr16,26.06,[26.06],[-45091.25042],[-47382.49469],[107.5],[0.37],4.121
spec-6447-56362-0854norm.dr16,176.73,"[173.76, 2.97]",[-39543.80943 -45428.49091],[-43741.06198 -47449.69926],"[468.85, 100.13]","[0.36, 0.28]",4.121
spec-5421-55980-0918norm.dr16,20.62,[20.62],[-53918.0452],[-56851.67565],[195.41],[0.33],4.479
spec-5422-55986-0288norm.dr16,0,[],[],[],[],[],4.479
