NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
,,,,,,
spec-4354-55810-0356norm.dr16,3.37,[3.37],[-53587.9674],[-54255.91158],[43.73],[0.35]
,,,,,,
spec-9345-57713-0464norm.dr16,281.11,"[184.62, 5.42, 91.07]",[-41747.61577 -46138.02227 -52317.34618],[-44721.72271 -46677.11056 -54189.16625],"[209.54, 51.52, 96.69]","[0.25, 0.4, 0.38]"
,,,,,,
spec-2884-54526-0579norm.dr16,79.49,"[58.09, 21.4]",[-45532.11036 -49770.99415],[-46273.69045 -50374.98463],"[87.35, 88.1]","[0.39, 0.58]"
,,,,,,
spec-6313-56460-0295norm.dr16,316.37,"[2.24, 86.94, 164.5, 62.68]",[-38765.93104 -45532.11036 -46745.26592 -49703.96293],[-39308.67889 -46475.78239 -49233.92631 -50374.98463],"[68.56, 123.19, 179.87, 113.3]","[0.45, 0.48, 0.26, 0.55]"
,,,,,,
spec-2945-54505-0067norm.dr16,215.71,"[19.78, 195.93]",[-39441.85274 -57784.85376],[-41204.12094 -58914.00676],"[25.89, 317.41]","[0.18, 0.59]"
,,,,,,
spec-5494-55857-0549norm.dr16,380.74,"[188.1, 192.64]",[-37404.92935 -57784.85376],[-40187.82348 -58847.55174],"[203.24, 317.85]","[0.26, 0.6]"
,,,,,,
spec-6587-56537-0015norm.dr16,4492.85,[4492.85],[-31003.36306],[-49368.10217],[4496.56],[0.74]
,,,,,,
spec-7701-57356-0794norm.dr16,3773.37,[3773.37],[-32027.28916],[-50240.59287],[3783.66],[0.78]
,,,,,,
spec-0948-52428-0370norm.dr16,201.43,"[4.38, 0.26, 9.63, 187.15]",[-34092.40786 -36066.7449  -38105.96926 -39734.89123],[-34637.29201 -36610.98374 -38785.03779 -42038.13374],"[33.53, 22.19, 38.8, 221.76]","[0.29, 0.22, 0.26, 0.44]"
,,,,,,
spec-7089-56661-0060norm.dr16,1238.34,"[1127.75, 110.58]",[-34296.77175 -46090.39913],[-43931.17663 -47033.51469],"[1148.07, 123.45]","[0.48, 0.46]"
,,,,,,
spec-6199-56220-0264norm.dr16,2409.13,"[2397.2, 11.93]",[-31693.4921  -48165.49783],[-42905.6779  -48770.58125],"[2408.15, 234.8]","[0.44, 0.88]"
,,,,,,
spec-7618-56898-0268norm.dr16,1764.51,"[1452.87, 311.64]",[-33807.81533 -45606.61853],[-42837.93713 -49509.56396],"[1493.37, 314.88]","[0.38, 0.9]"
,,,,,,
spec-1455-53089-0381norm.dr16,379.64,"[201.27, 0.58, 172.87, 4.91]",[-30867.57694 -36320.5378  -45465.38102 -55058.10241],[-33119.57013 -36864.46629 -46745.84839 -55858.11041],"[209.57, 6.48, 253.94, 29.67]","[0.37, 0.15, 0.64, 0.2]"
,,,,,,
spec-6670-56389-0168norm.dr16,711.6,"[563.77, 147.83]",[-30867.57694 -45532.74964],[-34618.91843 -46543.82571],"[598.21, 199.8]","[0.4, 0.55]"
,,,,,,
spec-6280-56570-0623norm.dr16,245.21,"[174.85, 67.04, 3.31]",[-33990.76638 -37529.30833 -48144.38405],[-37257.44046 -39226.62029 -48749.42215],"[213.73, 84.04, 15.96]","[0.28, 0.22, 0.14]"
,,,,,,
spec-7694-57359-0006norm.dr16,233.94,[233.94],[-33922.71962],[-37325.34785],[264.83],[0.33]
,,,,,,
spec-1582-52939-0558norm.dr16,1161.08,"[173.16, 125.16, 13.67, 109.31, 49.52, 690.26]","[-31202.55973 -33999.37946 -35973.84233 -51508.87107 -53315.73904
 -54451.29976]","[-32567.58851 -35225.21869 -36722.06751 -52312.34182 -54184.21252
 -58047.55415]","[362.15, 165.71, 139.29, 246.61, 141.68, 928.17]","[1.34, 0.83, 0.59, 0.81, 0.76, 1.49]"
,,,,,,
spec-4485-55836-0092norm.dr16,1098.18,"[951.52, 142.53, 4.13]",[-30041.34    -51575.94031 -56983.73907],[-36313.96954 -52312.34182 -57515.931  ],"[982.59, 268.19, 27.71]","[0.78, 0.88, 0.29]"
,,,,,,
spec-2785-54537-0175norm.dr16,854.23,"[811.66, 36.96, 5.6]",[-35479.1943  -45305.91771 -47192.76325],[-44631.02839 -46451.86938 -47731.05451],"[817.97, 66.96, 40.71]","[0.43, 0.28, 0.25]"
,,,,,,
spec-5896-56047-0658norm.dr16,1477.59,[1477.59],[-33503.91814],[-43888.19979],[1497.62],[0.39]
,,,,,,
spec-4341-55538-0324norm.dr16,1034.07,"[728.14, 305.93]",[-32748.27764 -53893.76107],[-43409.99255 -58821.33412],"[776.25, 323.17]","[0.41, 0.3]"
,,,,,,
spec-9312-57784-0360norm.dr16,2893.47,"[1958.0, 19.58, 915.89]",[-29948.98694 -46648.47529 -54361.22219],[-40906.35536 -47994.74076 -59219.35944],"[2033.69, 35.45, 944.67]","[0.51, 0.21, 0.45]"
,,,,,,
spec-1709-53533-0576norm.dr16,3101.49,"[2861.73, 239.76]",[-32012.05656 -45179.49441],[-43423.98468 -48748.31635],"[2924.31, 275.01]","[0.68, 0.33]"
,,,,,,
