SDSS name,Spec Files,Redshift,OG EHVO Obs,Tmin From EHVO,Tmin (restframe),Done,2000 BI LIMIT,500 BI LIMIT,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL 500,DEPTH,,Variable?,Variable between EHVO and Tmin epochs?,,,,,,
J112954.72+080935.5,spec-1618-53116-0538,3.07,0,695.5773956,695.5773956,TRUE,First 3,,109.97,"[13.07, 6.41, 89.02]",[-31198.83195 -34199.96338 -35085.42636],[-32359.26335 -34745.01576 -36582.32894 ],"[28.64, 25.57, 109.04]","[0.21, 0.19, 1.07]",,TRUE,TRUE,109.97,"[13.07, 6.41, 89.02, 1.47]",[-31198.83195 -34199.96338 -35085.42636 -38213.33242],[-32359.26335 -34745.01576 -36582.32894 -38756.40709],"[28.64, 25.57, 109.04, 11.75]","[0.21, 0.19, 1.07, 0.19]"
J112954.72+080935.5,spec-5374-55947-0608,3.07,1,695.5773956,695.5773956,TRUE,,,354.16,[354.16],[-32222.74415],[-38145.32759],[358.53],[0.5],,TRUE,TRUE,,,,,,
J114851.46+231340.4,spec-2511-53882-0552,3.083,0,599.0693118,599.0693118,TRUE,first 2,,694.38,"[6.36, 685.74]",[-31802.99995 -32690.02802],[-32349.01033 -40780.7092 -56837.11627],"[20.21, 710.53]","[0.18, 0.31]",,TRUE,TRUE,,,,,,
J114851.46+231340.4,spec-6422-56328-0988,3.083,1,599.0693118,599.0693118,TRUE,only first,,1403.92,[1299.27],[-29959.04622],[-40983.90523],[1349.49],[0.45],,TRUE,TRUE,,,,,,
J120105.36+290352.1,spec-2225-53729-0182,3.128,0,631.0562016,631.0562016,TRUE,0,,0,,,,0,0,,TRUE,TRUE,,,,,,
J120105.36+290352.1,spec-6402-56334-0966,3.128,1,631.0562016,631.0562016,TRUE,Second,,558.57,[ 522.97],[43865.8906 ],[-50731.31614],[ 527.44],[ 0.44],,TRUE,TRUE,,,,,,
J144844.69+092834.2,spec-1713-53827-0211,3.159,0,519.1151719,519.1151719,TRUE,"First 2, but catches a little SiIV",,706.18,"[540.09, 140.79, 14.85, 10.45]",[-33446.57572 -38820.58927],[-38549.15413 -41058.10341],"[573.93, 184.43]","[0.47, 0.39]",,FALSE,FALSE,I think this is easily within the margin of error. Saying no for now,,,,,
J144844.69+092834.2,spec-5476-55986-0599,3.159,1,519.1151719,519.1151719,TRUE,"First 2, no SiIV",,942.54,"[888.69, 47.53]",[-33855.64745 -42411.9561],[-41938.35759 -43088.1968 -47001.49917],"[970.12, 78.8]","[0.37, 0.44]",,FALSE,FALSE,,,,,,
J103119.22+294622.9,spec-6456-56339-0894,3.194,1,432.9995231,432.9995231,TRUE,Last,,750.22,[459.52],[ -38779.50201],[ -46017.57987],[ 478.38],[ 0.32],,TRUE,TRUE,,,,,,
J103119.22+294622.9,spec-10464-58155-0575,3.194,0,432.9995231,432.9995231,TRUE,last,,734.89,[501.54],[ -38508.08691],[-46960.70375],[502.73],[ 0.28],,TRUE,TRUE,Hard call on variability,,,,,
