,objectName,spec1,spec2,I01,I02,I1,I2
302,144844.69+092834.2,"Spectra(plate='5476', mjd='55986', fiber='0599')","Spectra(plate='1713', mjd='53827', fiber='0211')",6.3617377,3.923333,3.657675,3.6674707
303,145229.08+093204.9,"Spectra(plate='5476', mjd='55986', fiber='0752')","Spectra(plate='1713', mjd='53827', fiber='0102')",15.963318,12.121216,5.6849627,5.6819777
304,145910.13+425213.2,"Spectra(plate='6053', mjd='56091', fiber='0956')","Spectra(plate='1290', mjd='52734', fiber='0557')",10.300875,14.44902,5.9059525,5.899089
305,150444.95+512640.3,"Spectra(plate='8397', mjd='57482', fiber='0623')","Spectra(plate='6720', mjd='56390', fiber='0302')",11.521481,8.632346,4.3332562,4.1524177
306,150757.14+155920.4,"Spectra(plate='5484', mjd='56039', fiber='0264')","Spectra(plate='2765', mjd='54535', fiber='0517')",7.399432,4.6565027,3.4299152,3.7086363
307,150803.52+081613.9,"Spectra(plate='5487', mjd='55982', fiber='0494')","Spectra(plate='1816', mjd='53919', fiber='0441')",4.1876583,8.63685,4.0087066,4.13876
308,151017.73+422112.3,"Spectra(plate='6054', mjd='56089', fiber='0957')","Spectra(plate='1291', mjd='52735', fiber='0618')",10.438777,16.86427,10.919688,10.58854
309,152222.52+373743.1,"Spectra(plate='4979', mjd='56045', fiber='0250')","Spectra(plate='1400', mjd='53470', fiber='0461')",7.529278,6.4190073,6.600003,6.1721573
310,152553.89+513649.1,"Spectra(plate='8395', mjd='57834', fiber='0838')","Spectra(plate='0795', mjd='52378', fiber='0245')",40.042892,42.757755,21.849178,21.692898
311,153045.75+383952.3,"Spectra(plate='10741', mjd='58230', fiber='0840')","Spectra(plate='1293', mjd='52765', fiber='0068')",27.812052,23.212605,6.9508076,7.490781
312,153336.02+571835.7,"Spectra(plate='6791', mjd='56429', fiber='0398')","Spectra(plate='0615', mjd='52347', fiber='0096')",15.255425,14.785545,13.131535,13.6578665
313,153715.74+582933.9,"Spectra(plate='6791', mjd='56429', fiber='0714')","Spectra(plate='8426', mjd='58224', fiber='0142')",26.427164,18.8467,4.6476607,4.476265
314,153715.74+582933.9,"Spectra(plate='6791', mjd='56429', fiber='0714')","Spectra(plate='8426', mjd='58224', fiber='0142')",26.427164,20.731182,4.3886905,4.6674004
315,153824.01+445311.5,"Spectra(plate='6032', mjd='56067', fiber='0444')","Spectra(plate='6041', mjd='56102', fiber='0874')",8.978646,6.5722475,6.493489,6.35513
