,Spectra Name,Redshift,SNR
285,spec-6452-56366-0974-dered.dr16,1.9288,13.2174
286,spec-6463-56340-0566-dered.dr16,1.92987,45.53604
287,spec-6659-56607-0640-dered.dr16,1.92749,12.46865
288,spec-9208-57688-0383-dered.dr16,1.927,19.1408
289,spec-7278-57041-0235-dered.dr16,1.91731,21.83924
290,spec-9562-57817-0342-dered.dr16,1.9274,13.8084
291,spec-9175-58049-0690-dered.dr16,1.9277,18.64299
292,spec-7711-57667-0502-dered.dr16,1.9279,16.32537
293,spec-7877-56898-0646-dered.dr16,1.93455,23.29315
294,spec-9356-57809-0923-dered.dr16,1.9279,14.61281
295,spec-4770-55928-0926-dered.dr16,1.92356,27.74256
296,spec-5205-56040-0136-dered.dr16,1.92626,18.58136
297,spec-5212-56016-0750-dered.dr16,1.92937,23.36981
298,spec-5715-56657-0272-dered.dr16,1.93157,18.66776
299,spec-10720-58250-0174-dered.dr16,1.9281,16.27781
300,spec-7619-56900-0680-dered.dr16,1.931,19.29918
301,spec-11633-58463-0669-dered.dr16,1.9284,16.41265
302,spec-7656-57338-0819-dered.dr16,1.93037,19.10204
303,spec-5299-55927-0968-dered.dr16,1.93179,19.018
304,spec-5486-56030-0988-dered.dr16,1.92809,32.66884
305,spec-6483-56341-0392-dered.dr16,1.92799,33.05637
306,spec-6487-56362-0214-dered.dr16,1.9318,16.82969
307,spec-6735-56397-0866-dered.dr16,1.93445,19.36497
308,spec-7770-58044-0744-dered.dr16,1.9291,24.60505
309,spec-11546-58488-0812-dered.dr16,1.9295,22.73339
310,spec-7744-58396-0687-dered.dr16,1.9295,30.37607
311,spec-7573-56946-0568-dered.dr16,1.93148,16.30528
312,spec-7704-57572-0623-dered.dr16,1.9298,19.88292
313,spec-10666-58440-0098-dered.dr16,1.9299,11.54359
314,spec-9155-58043-0194-dered.dr16,1.9299,20.16102
315,spec-5301-55987-0136-dered.dr16,1.93002,15.84482
316,spec-5410-56016-0928-dered.dr16,1.93,15.1019
317,spec-5740-55998-0552-dered.dr16,1.928368,42.25859
318,spec-6638-56370-0638-dered.dr16,1.929868,19.34717
319,spec-7092-56683-0792-dered.dr16,1.92494,23.07174
320,spec-7117-56685-0310-dered.dr16,1.930921,27.88903
321,spec-7282-56660-0208-dered.dr16,1.925979,16.33802
322,spec-7416-56810-0258-dered.dr16,1.92735,25.37695
323,spec-8359-57449-0335-dered.dr16,1.931599,15.91961
324,spec-8509-57843-0854-dered.dr16,1.93,12.82589
325,spec-8827-57444-0758-dered.dr16,1.93084,20.52019
326,spec-10911-58256-0877-dered.dr16,1.9309,14.92269
327,spec-5794-56282-0572-dered.dr16,1.92984,15.30322
328,spec-4870-55923-0982-dered.dr16,1.93222,29.67658
329,spec-5201-55832-0796-dered.dr16,1.93267,22.04997
330,spec-5290-55862-0330-dered.dr16,1.9354,16.91691
331,spec-5292-55926-0194-dered.dr16,1.9343,20.88842
332,spec-5780-56274-0038-dered.dr16,1.93259,25.60215
333,spec-5787-56254-0634-dered.dr16,1.931458,18.62444
334,spec-6040-56101-0982-dered.dr16,1.93509,26.55113
335,spec-6047-56098-0460-dered.dr16,1.93564,18.88247
336,spec-6734-56386-0940-dered.dr16,1.93454,14.34223
337,spec-7728-58138-0544-dered.dr16,1.932,24.641
338,spec-8302-57389-0082-dered.dr16,1.936718,22.2701
