SDSS name,Spec Files,Redshift (from SDSS),Redshift (from Rankine),Redshift,OG EHVO obs = Rankine Obs,OG EHVO Obs,Tmin (restframe),BI 2000 Limit #s ->,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,VCentral,BI 500 Limit #s ->,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL 500,DEPTH,VCentral,,NV?,SiIV?,NV > CIV?,
J123830.71+480003.4,spec-1455-53089-0381,2.846,2.86073,2.86073,TRUE,,854.7606,1,3.88,[3.88],[-32000.97406],[-34251.0981],[403.56],[0.37],[-33220.406346],5,201.11,201.11,-32000.97406,-34251.0981,403.56,0.37,[-33220.406346],,TRUE,TRUE,TRUE,
J123830.71+480003.4,spec-6670-56389-0168,2.846,2.86073,2.86073,TRUE,1,854.7606,1,218.51,[218.51],[-32000.97406],[-35749.13032],[912.33],[0.4],[-33836.6898432],5,563.29,563.77,-32000.97406,-35749.13032,912.33,0.4,[-33836.6898432],,TRUE,TRUE,TRUE,
J002238.35+273533.2,spec-6280-56570-0623,2.86,2.859658,2.859658,TRUE,,204.4223,1,87.35,[87.35],[-33964.69785],[-37231.44029],[496.95],[0.28],[-35642.29903683],5,174.86,174.86,-33964.69785,-37231.44029,496.95,0.28,[-35642.29903683],,TRUE,TRUE,TRUE,
J002238.35+273533.2,spec-7694-57359-0006,2.86,2.859658,2.859658,TRUE,1,204.4223,1,125.05,[125.05],[-33896.64973],[-37299.34916],[567.79],[0.33],[-35641.26436867],5,233.95,233.95,-33896.64973,-37299.34916,567.79,0.33,[-35641.26436867],,TRUE,TRUE,TRUE,
J140958.02+220206.0,spec-2785-54537-0175,2.892,2.895563,2.895563,TRUE,,387.6205,1,679.07,[679.07],[-35749.41997],[-44899.01091],[1512.28],[0.43],[-40238.02341071],5,811.46,811.66,-35749.41997,-44899.01091,1512.28,0.43,[-40238.02341071],,TRUE,TRUE,TRUE,Probably SiIV
J140958.02+220206.0,spec-5896-56047-0658,2.892,2.895563,2.895563,TRUE,1,387.6205,1,1303.28,[1303.28],[-33774.56095],[-44156.38343],[2359.45],[0.39],[-38685.18955377],5,1477.24,1477.24,-33774.56095,-44156.38343,2359.45,0.39,[-38685.18955377],,TRUE,TRUE,TRUE,
J025334.18-031812.7,spec-4341-55538-0324,2.978,,2.978,FALSE,,564.6053,1,553.42,553.42,-32748.27764,-43409.99255,1701.29,0.41,[-37672.02771514],5,728.14,728.14,-32748.27764,-43409.99255,1701.29,0.41,[-37672.02771514],,TRUE,TRUE,TRUE,Prob SiIV
J025334.18-031812.7,spec-9312-57784-0360,2.978,,2.978,FALSE,1,564.6053,1,1618.28,1618.28,-29948.98694,-40906.35536,2920.8,0.51,[-34754.81392567],5,1958,1958,-29948.98694,-40906.35536,2920.8,0.51,[-34754.81392567],,TRUE,TRUE,TRUE,
J143212.86+113953.1,spec-1709-53533-0576,3.003,3.01499,3.01499,TRUE,,611.4586,1,[2458.38],[2458.38],[-32898.15995],[-44301.40281],[3752.87],[0.68],[-37839.26550879],5,2859.61,2859.61,-32898.15995,-44301.40281,3752.87,0.68,[-37839.26550879],,TRUE,TRUE,TRUE,
J143212.86+113953.1,spec-5465-55988-0798,3.003,3.01499,3.01499,TRUE,1,611.4586,1,[2143.57],[2143.57],[-32488.87269],[-43287.94635],[3264.11],[0.64],[-37314.57775536],5,2417.75,2417.75,-32488.87269,-43287.94635,3264.11,0.64,[-37314.57775536],,TRUE,TRUE,TRUE,NV Only marginally stronger
J094734.19+142116.9,spec-2582-54139-0485,3.031,3.05005,3.05005,FALSE,,440.7352996,2,291.67,[291.67],[-44825.1379],[-49738.76097],[971.09],[0.33],[-47220.46015918],2,488.78,488.78,-43442.32859,-48363.15782,972.52,0.33,[-47220.46015918],,TRUE,TRUE,TRUE,
J094734.19+142116.9,spec-5320-55999-0336,3.031,3.05005,3.05005,TRUE,1,440.7352996,2,23.7,[23.7],[-47251.69285],[-49738.76097],[361.78],[0.22],[-48574.13466446],2,188.71,"66.63, 122.08",[-44960.12669 -47251.69285],[-46376.12698 -49738.76097],"220.44, 362.33","0.22, 0.22",[-45690.20119111 -48574.13466446],,TRUE,TRUE,TRUE,WE KEEP BOTH BI500 FOR THE EHVO EPOCH
J094734.19+142116.9,spec-9587-57784-0340,3.031,3.05005,3.05005,FALSE,,440.7352996,2,0,[],[],[],[],[],[],2,33.71,"26.06, 7.65",[-45297.43569 -49134.55199],[-46241.33732 -49940.27698],"149.85, 110.85","0.19, 0.19",[-45788.32832118 -49516.96208349],,TRUE,TRUE,TRUE,
J112954.72+080935.5,spec-1618-53116-0538,3.07,3.07967,3.07967,TRUE,,693.9287,1,0,[],[],[],[],[],[],5,109.9,"13.06, 6.41, 88.97",-102591.2667,-105791.9052,"120.67, 70.17, 191.41","0.21, 0.19, 1.07",[-32496.22075842 -35178.13925336 -36704.5793129],,TRUE,FALSE,TRUE,
