MJD,RUN2D,CATALOGID,SDSS_ID,Z
59291,v6_1_3,4545114064,55797139,2.5378495018206118
59291,v6_1_3,4545198736,55788568,2.978707168883506
59304,v6_1_3,4592563731,55772330,2.5292490615820227
59310,v6_1_3,4592668303,80008775,2.29508135496161
59317,v6_1_3,4592991926,80043875,3.1077771352690773
59318,v6_1_3,4570380920,79992677,2.071596708027803
59318,v6_1_3,4570388253,79990967,2.602770926515177
59318,v6_1_3,4592612385,79997523,1.9370577407499794
59343,v6_1_3,4603761999,60245319,2.231163506861918
59370,v6_1_3,4346106849,61099819,2.6572464000116023
59370,v6_1_3,4349130903,62263842,2.779291784970857
59375,v6_1_3,5189681431,60528613,2.9313183867869226
59381,v6_1_3,4351094244,62237969,2.1552599916094324
59636,v6_1_3,27021598149677774,55759621,3.2314065229174753
59647,v6_1_3,27021598146889486,79026103,2.270467532284333
59662,v6_1_3,27021598149835490,80009021,2.0985999365520214
59663,v6_1_3,27021598149689173,55760403,2.7419205133072424
59665,v6_1_3,27021598150149500,80027271,2.4917164058265704
59731,v6_1_3,27021598157842176,78963348,2.5453866223765846
59846,v6_1_3,27021597934582956,94886529,2.6770122426449325
59879,v6_1_3,27021598103254901,56230530,2.5838668014818627
59898,v6_1_3,27021597957480259,71368344,2.9040765748407997
59904,v6_1_3,27021598102818947,55794022,2.0499051992584283
59904,v6_1_3,27021598149746836,55784079,2.222355211830427
59906,v6_1_3,27021597970766394,76104744,2.810213088989258
59907,v6_1_3,27021597933123662,70327611,2.0824422689632662
59938,v6_1_3,27021598152816860,80656570,2.357778569270965
59994,v6_1_3,27021598053264167,75986963,2.4748194354774404
60018,v6_1_3,27021598150725763,55979160,2.214029063080918
60027,v6_1_3,27021598150347198,80053597,2.0840978961010825
60030,v6_1_3,27021598145889978,79226094,2.443560730988379
60049,v6_1_3,27021598149103392,78978800,2.7000850876562295
60052,v6_1_3,27021598150248240,79960390,2.2223663106071108
60052,v6_1_3,27021598157263556,79061313,2.8195408137213587
60061,v6_1_3,27021598157790239,78998178,2.0243380622638947
60071,v6_1_3,27021598160032302,60039256,3.636066890181265
60087,v6_1_3,27021598131901132,78687822,2.6343082474221067
59187,v6_1_3,4382190169,70840235,2.605299375219138
59193,v6_1_3,4399272889,70345273,2.770503116710652
59218,v6_1_3,4375029862,70281901,3.5853367149353765
59221,v6_1_3,4401486634,70164721,2.6888269312131494
59222,v6_1_3,4491938738,74327340,2.476491296178077
59227,v6_1_3,4492077053,74316424,2.301606655875484
59227,v6_1_3,4570534685,79985045,3.245309256959281
59231,v6_1_3,4545179601,55766762,1.972289814526532
59251,v6_1_3,4545171223,74324066,2.30717785620224
59251,v6_1_3,4554380685,57550810,3.384702125483696
59253,v6_1_3,4570357950,101612103,2.1197230406334437
59254,v6_1_3,4592502116,55758784,2.18541880781104
59256,v6_1_3,4592528128,55763364,2.4496848926805983
59256,v6_1_3,4592550442,55774759,3.2953600829414116
59278,v6_1_3,4554137313,57779969,1.9922006326535442
59278,v6_1_3,4555396540,57911870,2.05738620546974
59280,v6_1_3,4545076278,74369211,2.6796246690674623
59288,v6_1_3,4545089107,74370239,2.4557980713446335
59294,v6_1_3,4543044526,56381863,2.1051797961034104
