NORM SPECTRA FILE NAME,SDSSJ Name,zem(z_PCA_SDSS),SDSS SNR,BI,,vmin,,vmax,,BI_individual,EW_individual,Depth
spec-5144-55829-0475-dered.dr16,J213054.48+011500.5,2.481530575,24.11456,669.43,,-29961.89382,-36030.95384,-42205.5018,-33988.35604,"252.25, 417.18","492.44, 614.17","0.37, 0.33"
spec-5483-56017-0061-dered.dr16,J150953.55+121444.9,2.926457422,18.65701,2703.25,,-35028.70873,,-47016.39162,,2703.25,2882.93,0.73
spec-6754-56414-0561-dered.dr16,J131316.59+513025.3,2.786390045,14.9462,342.81,,-37282.94425,,-42098.11282,,342.81,448.76,0.36
spec-8059-57895-0912-dered.dr16,J162546.21+504031.0,2.967345842,16.87417,92.91,,-51587.27367,,-54329.21144,,92.91,254.19,0.29
spec-5374-55947-0608-dered.dr16,J112954.72+080935.5,3.05486448,22.93383,228.13,,-32222.74415,,-38145.32759,,228.13,358.53,0.5
spec-6412-56358-0454-dered.dr16,J105853.11+250552.9,3.074669999,12.16403,59.55,,-36278.76517,-39810.37083,-42181.19647,-38928.43293,"38.78, 20.77","163.1, 158.53","0.37, 0.31"
spec-4663-55893-0854-dered.dr16,J010645.66+114123.8,3.084844251,15.94493,289,,-37822.46963,,-41349.33362,,289,668.28,0.66
spec-6402-56334-0966-dered.dr16,J120105.36+290352.1,3.173502785,21.62929,419.06,,-43865.8906,,-50731.31614,,419.06,527.44,0.44
spec-6456-56339-0894-dered.dr16,J103119.22+294622.9,3.19949594,19.93668,352.12,,-38847.46229,,-46017.57987,,352.12,478.38,0.32
spec-6405-56342-0814-dered.dr16,J113439.19+290148.4,3.184719683,19.9061,1787.56,,-36743.92046,,-49652.5981,,1787.56,1999.55,0.39
spec-5288-55865-0958-dered.dr16,J085119.10+134652.5,3.264769238,20.35903,145.25,,-36900.82525,,-39956.0373,,145.25,286.85,0.34
spec-5868-56045-0372-dered.dr16,J135402.11+182810.9,3.395421958,18.11065,113.73,,-45289.56442,,-48790.62756,,113.73,323.4,0.42
spec-7622-56987-0113-dered.dr16,J011135.35+181826.1,3.449303674,21.71429,165.98,,-41918.87857,,-46914.66435,,165.98,202.36,0.51
spec-6122-56246-0696-dered.dr16,J230820.39+204004.3,3.601475789,19.12713,216.99,,-46216.79234,,-50117.1391,,216.99,473.2,0.32
spec-8396-57837-0736-dered.dr16,J150116.10+525556.8,3.848320027,19.70139,560.17,,-36879.39481,-47231.99015,-52868.68412,-39799.20107,"65.5, 494.68","335.33, 743.03","0.33, 0.44"
spec-6447-56362-0854-dered.dr16,J104121.11+334901.6,4.104548032,19.43312,176.73,,-39543.80943,-45428.49091,-47449.69926,-43741.06198,"173.76, 2.97","468.85, 100.13","0.36, 0.28"
spec-5421-55980-0918-dered.dr16,J131056.86+105530.1,4.456247015,23.01241,20.62,,-53918.0452,,-56851.67565,,20.62,195.41,0.33
spec-6433-56339-0278-dered.dr16,J114022.89+303547.3,2.589796003,10.1235,207.58,,-37065.6402,,-40798.26944,,207.58,390.07,0.36
spec-5712-56602-0074-dered.dr16,J092619.69+591507.5,1.9311591,10.08214,448.13,,-44816.40527,,-49595.7566,,448.13,557.98,0.4
spec-6045-56072-0455-dered.dr16,J162115.06+400732.3,2.201641265,26.30587,28.8,,-44740.09439,,-47705.15271,,28.8,245.38,0.31
spec-6142-56219-0893-dered.dr16,J232013.37+145857.8,2.708487689,20.0871,31.39,,-38607.95027,,-41590.91986,,31.39,267.64,0.34
spec-6983-56447-0896-dered.dr16,J145340.51+625800.3,3.036420386,15.47605,730.11,,-31035.49757,-40357.70021,-46978.75456,-35194.82881,"603.54, 126.57","926.77, 181.72","0.87, 0.24"
spec-6389-56270-0061-dered.dr16,J080020.91+452134.1,2.780902244,11.80986,2047.89,,-38667.20618,,-55893.88029,,2047.89,2127.68,0.42
spec-10728-58248-0740-dered.dr16,J164051.13+384642.1,2.034301401,10.30836,137.55,,-53221.35367,,-56290.7884,,137.55,284.7,0.42
spec-5372-55978-0742-dered.dr16,J113050.17+124157.5,2.349472628,10.38175,355.05,,-31662.62725,-36772.29781,-40980.13571,-35139.30343,"180.2, 174.85","496.02, 376.39","0.42, 0.29"
spec-4485-55836-0092-dered.dr16,J075138.04+191310.0,2.861824312,13.44172,658.75,,-30041.34,,-36313.96954,,658.75,982.59,0.78
